Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Puzzle of the Paper Daughter: A Julie Mystery,"Kathryn Reiss, Jean-Paul Tibbles","","",hardcover,read,2021/07/05,"","",1,"",,,,,,,,,"",,"",No
Blue Bloods,Melissa de la Cruz,"","",hardcover,read,2021/07/05,"","",1,"",,,,,,,,,"",,"",No
Parties & Potions,Sarah Mlynowski,"",9780385736459,paperback,read,2021/07/05,"","",1,"",,,,,,,,,"",,"",No
The Curse of Ravenscourt: A Samantha Mystery,"Peg Ross, Jean-Paul Tibbles, Sarah Masters Buckey","","",,read,2021/07/05,"","",1,"",,,,,,,,,"",,"",No
The Hawthorne Legacy,Jennifer Lynn Barnes,"",9780316105187,paperback,read,2023/02/08,2023/02/17,2023/02/16-2023/02/17,1,"",,,,,,,,,"",,"",No
The Penultimate Peril,Lemony Snicket,"Michael Kupperman (Illustrator), Brett Helquist (Illustrator)",9780064410151,hardcover,read,2020/06/16,"","",1,"",,,,,,,,,"",,book-box-1,Yes
The Toll,Neal Shusterman,"",9781481497077,paperback,read,2020/06/17,"","",1,"",,,,,,,,,"",,book-box-4,Yes
The Pumpkin Spice Café,Laurie Gilmore,"",9780008610661,digital,read,2025/01/13,2025/01/18,2025/01/12-2025/01/18,1,"",,,,,,,,,"",,"",No
That Kind of Guy,Stephanie Archer,"",9781398724426,digital,read,2023/04/30,2023/04/28,2023/04/27-2023/04/28,1,"",,,,,,,,,"",,"",No
The Queen of Nothing,Holly Black,"",9780316310420,hardcover,read,2021/08/06,2021/08/05,2021/08/05-2021/08/05,1,"",,,,,,,,,"",,"",No
Kaya's Escape!,Janet Beeler Shaw,"","",paperback,read,2021/07/05,"","",1,"",,,,,,,,,"",,"",No
Masquerade,Melissa de la Cruz,"",9780786838936,hardcover,read,2021/07/05,"","",1,"",,,,,,,,,"",,"",No
